country_fr,iso3c,pop2018,date,test_unit,tests,cases,deaths,tests_7dravg,cases_7dravg,deaths_7dravg,ctratio_7dravg
Autriche,AUT,8847037,2020-05-16,tests performed,6042,63,2,6529,47,1,0.01
Autriche,AUT,8847037,2020-05-17,tests performed,5116,72,0,6572,42,1,0.01
Autriche,AUT,8847037,2020-05-18,tests performed,3364,14,1,6627,38,2,0.01
Autriche,AUT,8847037,2020-05-19,tests performed,6562,25,0,6160,41,2,0.01
Autriche,AUT,8847037,2020-05-20,tests performed,7157,78,3,6191,40,2,0.01
Autriche,AUT,8847037,2020-05-21,tests performed,NA,18,1,5776,34,2,0.01
Autriche,AUT,8847037,2020-05-22,tests performed,NA,57,0,5591,NA,NA,NA
Autriche,AUT,8847037,2020-05-23,tests performed,5875,29,2,5567,NA,NA,NA
Autriche,AUT,8847037,2020-05-24,tests performed,5494,46,4,5621,NA,NA,NA
Autriche,AUT,8847037,2020-05-25,tests performed,3484,32,1,5638,NA,NA,NA
Autriche,AUT,8847037,2020-05-26,NA,NA,20,1,NA,NA,NA,NA
Autriche,AUT,8847037,2020-05-27,NA,NA,38,2,NA,NA,NA,NA
Belgique,BEL,11422068,2019-12-31,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-01,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-02,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-03,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-04,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-05,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-06,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-07,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-08,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-09,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-10,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-11,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-12,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-13,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-01-14,NA,NA,0,0,NA,0,0,NA
